排名,SKU组,包含SKU,类别,型号,颜色,状态,PackSize,2024月销_单只,2025月销_单只,2026_1-5月销_单只,全期月销_单只,2024合计_单只,2025合计_单只,2026_1-5合计_单只,有销售月份_29,排除0销量月份,最高单月销量_单只,同型号最佳颜色,同型号最佳SKU组,同型号最佳全期月销_单只,同型号最佳2024月销_单只,同型号最佳2025月销_单只,同型号最佳2026_1-5月销_单只,对比说明
1,LSWP-02M-ASV,LSWP-02M-ASV,Screwless Wall Plate,LSWP-02M,Silver,Active,1,1.9,1.4,1.0,1.6,17.0,13.0,2.0,20,9,5.0,White,LSWP-02M-W,63.2,85.8,51.8,34.0,候选 Silver 全期月销 1.6；同型号最佳 White 月销 63.2
2,LCS1-1PTR-SG,LCS1-1PTR-SG,Combination Switch,LCS1-1PTR,Space Gray,Active,1,1.7,2.0,1.0,1.6,10.0,16.0,5.0,19,10,5.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Space Gray 全期月销 1.6；同型号最佳 White 月销 105.3
3,LCS3-1P-ISWP,LCS3-1P-ISWP,Combination Switch,LCS3-1P,Ivory,Active,1,1.7,1.6,3.0,1.8,12.0,14.0,9.0,19,10,4.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Ivory 全期月销 1.8；同型号最佳 Black 月销 63.1
4,LMWP-02M-HAB,LMWP-02M-HAB,Metal Wall Plate,LMWP-02M,Hammered Antique Brass,Active,1,2.2,1.5,2.2,1.9,20.0,17.0,11.0,25,4,4.0,Antique Brass,LMWP-02M-AB,11.0,7.2,10.1,16.0,候选 Hammered Antique Brass 全期月销 1.9；同型号最佳 Antique Brass 月销 11.0
5,LMWP-34M-HC,LMWP-34M-HC,Metal Wall Plate,LMWP-34M,Hammered Chrome,Active,1,2.0,2.0,1.5,1.9,16.0,16.0,3.0,18,11,5.0,Brushed Brass,LMWP-34M-BB,38.3,38.0,34.5,48.4,候选 Hammered Chrome 全期月销 1.9；同型号最佳 Brushed Brass 月销 38.3
6,LMWP-22M-HB,LMWP-22M-HB,Metal Wall Plate,LMWP-22M,Hammered Brass,Active,1,2.3,1.9,1.0,2.0,25.0,17.0,2.0,22,7,6.0,Stainless Steel,LMWP-22M-SS,39.4,41.3,42.1,25.8,候选 Hammered Brass 全期月销 2.0；同型号最佳 Stainless Steel 月销 39.4
7,LWP-32O-AGR,LWP-32O-AGR,Wall Plate,LWP-32O,Acrylic Green,Inactive,1,2.6,1.6,1.5,2.0,23.0,14.0,3.0,20,9,5.0,Acrylic Silver,LWP-32O-ASV,75.8,92.9,73.2,40.8,候选 Acrylic Green 全期月销 2.0；同型号最佳 Acrylic Silver 月销 75.8
8,LMWP-34M-HB,LMWP-34M-HB,Metal Wall Plate,LMWP-34M,Hammered Brass,Active,1,2.3,1.9,2.0,2.1,16.0,13.0,8.0,18,11,4.0,Brushed Brass,LMWP-34M-BB,38.3,38.0,34.5,48.4,候选 Hammered Brass 全期月销 2.1；同型号最佳 Brushed Brass 月销 38.3
9,LWP-12O-AGR,LWP-12O-AGR,Wall Plate,LWP-12O,Acrylic Green,Inactive,1,2.5,1.6,2.2,2.1,20.0,13.0,9.0,20,9,5.0,Acrylic Silver,LWP-12O-ASV,35.6,57.3,23.4,12.4,候选 Acrylic Green 全期月销 2.1；同型号最佳 Acrylic Silver 月销 35.6
10,LCS2-1P-ISWP,LCS2-1P-ISWP,Combination Switch,LCS2-1P,Ivory,Active,1,2.2,1.5,2.5,2.1,22.0,6.0,10.0,18,11,6.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Ivory 全期月销 2.1；同型号最佳 Black 月销 235.8
11,LWP-01O-ARD,"LWP-01O-ARD, LWP-01O-ARD5P",Wall Plate,LWP-01O,Acrylic Red,Inactive,"1, 5",2.1,1.8,3.5,2.1,17.0,14.0,7.0,18,11,8.0,Acrylic Silver,LWP-01O-ASV,69.0,84.1,52.5,0.0,候选 Acrylic Red 全期月销 2.1；同型号最佳 Acrylic Silver 月销 69.0
12,LCS1-1PTR-NK,LCS1-1PTR-NK,Combination Switch,LCS1-1PTR,Nickel,Active,1,1.8,2.6,2.7,2.3,14.0,21.0,8.0,19,10,9.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Nickel 全期月销 2.3；同型号最佳 White 月销 105.3
13,LWP-1131O-ARG,"LWP-1131O-ARG, LWP-1131O-ARG5P",Wall Plate,LWP-1131O,Rose Gold,"Active, Inactive","1, 5",1.6,3.0,2.5,2.3,14.0,27.0,5.0,20,9,8.0,Acrylic Silver,LWP-1131O-ASV,19.1,22.8,20.2,7.2,候选 Rose Gold 全期月销 2.3；同型号最佳 Acrylic Silver 月销 19.1
14,LSWP-01M-AGD,LSWP-01M-AGD,Screwless Wall Plate,LSWP-01M,Gold,Active,1,1.9,3.0,2.0,2.3,19.0,21.0,4.0,19,10,6.0,White,LSWP-01M-W,736.7,1066.2,547.2,400.6,候选 Gold 全期月销 2.3；同型号最佳 White 月销 736.7
15,LWP-34O-ABK,"LWP-34O-ABK, LWP-34O-ABK5P",Wall Plate,LWP-34O,Acrylic Black,"Active, Inactive","1, 5",2.3,2.6,1.7,2.4,21.0,26.0,5.0,22,7,9.0,Acrylic Silver,LWP-34O-ASV,16.2,20.6,13.8,11.6,候选 Acrylic Black 全期月销 2.4；同型号最佳 Acrylic Silver 月销 16.2
16,LSMWP-02M-PB,LSMWP-02M-PB,Metal Wall Plate,LSMWP-02M,Polished Brass,Inactive,1,1.6,2.5,3.0,2.4,8.0,25.0,12.0,19,10,5.0,Stainless Steel,LSMWP-02M-SS,23.4,27.1,18.9,25.6,候选 Polished Brass 全期月销 2.4；同型号最佳 Stainless Steel 月销 23.4
17,LMWP-41M-HC,LMWP-41M-HC,Metal Wall Plate,LMWP-41M,Hammered Chrome,Active,1,2.6,2.3,2.0,2.5,29.0,16.0,2.0,19,10,6.0,Brushed Brass,LMWP-41M-BB,42.3,23.6,42.0,61.8,候选 Hammered Chrome 全期月销 2.5；同型号最佳 Brushed Brass 月销 42.3
18,LCS3-1P-GY,LCS3-1P-GY,Combination Switch,LCS3-1P,Gray,Active,1,2.1,3.0,2.0,2.5,17.0,33.0,8.0,23,6,6.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Gray 全期月销 2.5；同型号最佳 Black 月销 63.1
19,LWP-32O-ARD,LWP-32O-ARD,Wall Plate,LWP-32O,Acrylic Red,Inactive,1,2.0,3.2,2.8,2.5,18.0,19.0,14.0,20,9,7.0,Acrylic Silver,LWP-32O-ASV,75.8,92.9,73.2,40.8,候选 Acrylic Red 全期月销 2.5；同型号最佳 Acrylic Silver 月销 75.8
20,LS15-4W-I,LS15-4W-I,Light Switch,LS15-4W,Ivory,Active,1,2.7,3.1,1.5,2.6,27.0,25.0,6.0,22,7,8.0,Black,LS15-4W-BK,200.6,246.8,175.7,149.2,候选 Ivory 全期月销 2.6；同型号最佳 Black 月销 200.6
21,LCS3-1P-I,LCS3-1P-I,Combination Switch,LCS3-1P,Ivory,Active,1,3.0,3.0,1.3,2.7,15.0,30.0,4.0,18,11,6.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Ivory 全期月销 2.7；同型号最佳 Black 月销 63.1
22,LSMWP-01M-BRG,LSMWP-01M-BRG,Metal Wall Plate,LSMWP-01M,Brushed Rose Gold,Inactive,1,5.0,1.2,1.8,2.7,40.0,11.0,9.0,22,7,22.0,Stainless Steel,LSMWP-01M-SS,25.1,29.4,21.0,24.4,候选 Brushed Rose Gold 全期月销 2.7；同型号最佳 Stainless Steel 月销 25.1
23,LWP-01O-ARG,"LWP-01O-ARG, LWP-01O-ARG5P",Wall Plate,LWP-01O,Rose Gold,"Active, Inactive","1, 5",3.8,2.1,2.3,2.8,30.0,17.0,7.0,19,10,9.0,Acrylic Silver,LWP-01O-ASV,69.0,84.1,52.5,0.0,候选 Rose Gold 全期月销 2.8；同型号最佳 Acrylic Silver 月销 69.0
24,LMWP-02M-HAC,LMWP-02M-HAC,Metal Wall Plate,LMWP-02M,Hammered Antique Copper,Active,1,3.4,2.8,2.0,2.9,34.0,22.0,10.0,23,6,6.0,Antique Brass,LMWP-02M-AB,11.0,7.2,10.1,16.0,候选 Hammered Antique Copper 全期月销 2.9；同型号最佳 Antique Brass 月销 11.0
25,LMWP-33M-HC,LMWP-33M-HC,Metal Wall Plate,LMWP-33M,Hammered Chrome,Active,1,2.5,3.2,3.2,2.9,27.0,35.0,16.0,27,2,7.0,Brushed Brass,LMWP-33M-BB,105.1,99.9,106.2,115.2,候选 Hammered Chrome 全期月销 2.9；同型号最佳 Brushed Brass 月销 105.1
26,LSMWP-02M-PC,LSMWP-02M-PC,Metal Wall Plate,LSMWP-02M,Polished Chrome,Active,1,2.2,1.8,8.2,2.9,24.0,22.0,33.0,27,2,20.0,Stainless Steel,LSMWP-02M-SS,23.4,27.1,18.9,25.6,候选 Polished Chrome 全期月销 2.9；同型号最佳 Stainless Steel 月销 23.4
27,LMWP-22M-HC,LMWP-22M-HC,Metal Wall Plate,LMWP-22M,Hammered Chrome,Active,1,3.4,2.2,4.2,3.0,27.0,24.0,17.0,23,6,7.0,Stainless Steel,LMWP-22M-SS,39.4,41.3,42.1,25.8,候选 Hammered Chrome 全期月销 3.0；同型号最佳 Stainless Steel 月销 39.4
28,LMWP-14M-HC,LMWP-14M-HC,Metal Wall Plate,LMWP-14M,Hammered Chrome,Active,1,2.1,4.1,1.5,3.0,19.0,49.0,6.0,25,4,11.0,Brushed Brass,LMWP-14M-BB,39.4,24.6,48.1,54.2,候选 Hammered Chrome 全期月销 3.0；同型号最佳 Brushed Brass 月销 39.4
29,LSMWP-01M-PB,LSMWP-01M-PB,Metal Wall Plate,LSMWP-01M,Polished Brass,Inactive,1,2.8,2.9,3.4,3.0,25.0,32.0,17.0,25,4,7.0,Stainless Steel,LSMWP-01M-SS,25.1,29.4,21.0,24.4,候选 Polished Brass 全期月销 3.0；同型号最佳 Stainless Steel 月销 25.1
30,LCS1-1PTR-GY,LCS1-1PTR-GY,Combination Switch,LCS1-1PTR,Gray,Active,1,3.0,3.1,2.6,3.0,36.0,34.0,13.0,28,1,7.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Gray 全期月销 3.0；同型号最佳 White 月销 105.3
31,LCS1-1PTR-ISWP,LCS1-1PTR-ISWP,Combination Switch,LCS1-1PTR,Ivory,Active,1,3.0,3.6,1.3,3.1,33.0,40.0,4.0,25,4,8.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Ivory 全期月销 3.1；同型号最佳 White 月销 105.3
32,LCS1-1PTR-SVSWP,LCS1-1PTR-SVSWP,Combination Switch,LCS1-1PTR,Silver,Active,1,3.8,3.1,1.0,3.2,45.0,34.0,3.0,26,3,10.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Silver 全期月销 3.2；同型号最佳 White 月销 105.3
33,LMWP-41M-HB,LMWP-41M-HB,Metal Wall Plate,LMWP-41M,Hammered Brass,Active,1,4.0,2.6,1.7,3.2,44.0,18.0,5.0,21,8,8.0,Brushed Brass,LMWP-41M-BB,42.3,23.6,42.0,61.8,候选 Hammered Brass 全期月销 3.2；同型号最佳 Brushed Brass 月销 42.3
34,LSWP-34M-SV,LSWP-34M-SV,Screwless Wall Plate,LSWP-34M,Silver,Active,1,3.7,2.1,5.3,3.2,44.0,23.0,16.0,26,3,11.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Silver 全期月销 3.2；同型号最佳 White 月销 654.7
35,LWP-01O-ABK,"LWP-01O-ABK, LWP-01O-ABK5P",Wall Plate,LWP-01O,Acrylic Black,"Active, Inactive","1, 5",4.4,2.5,1.7,3.2,44.0,28.0,5.0,24,5,11.0,Acrylic Silver,LWP-01O-ASV,69.0,84.1,52.5,0.0,候选 Acrylic Black 全期月销 3.2；同型号最佳 Acrylic Silver 月销 69.0
36,LCS2-1P-I,LCS2-1P-I,Combination Switch,LCS2-1P,Ivory,Active,1,3.6,3.1,2.7,3.2,29.0,34.0,8.0,22,7,10.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Ivory 全期月销 3.2；同型号最佳 Black 月销 235.8
37,LWP-12O-ARD,"LWP-12O-ARD, LWP-12O-ARD5P",Wall Plate,LWP-12O,Acrylic Red,Inactive,"1, 5",4.1,3.1,2.0,3.3,33.0,34.0,8.0,23,6,12.0,Acrylic Silver,LWP-12O-ASV,35.6,57.3,23.4,12.4,候选 Acrylic Red 全期月销 3.3；同型号最佳 Acrylic Silver 月销 35.6
38,LCS3-1P-LA,LCS3-1P-LA,Combination Switch,LCS3-1P,Light Almond,Active,1,2.5,3.3,4.8,3.3,28.0,20.0,24.0,22,7,9.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Light Almond 全期月销 3.3；同型号最佳 Black 月销 63.1
39,LSWP-01M-ASV,LSWP-01M-ASV,Screwless Wall Plate,LSWP-01M,Silver,Active,1,3.5,3.2,2.5,3.3,39.0,32.0,5.0,23,6,10.0,White,LSWP-01M-W,736.7,1066.2,547.2,400.6,候选 Silver 全期月销 3.3；同型号最佳 White 月销 736.7
40,LWP-33O-ARG,"LWP-33O-ARG, LWP-33O-ARG5P",Wall Plate,LWP-33O,Rose Gold,"Active, Inactive","1, 5",4.6,2.7,3.0,3.4,41.0,32.0,12.0,25,4,13.0,Acrylic Silver,LWP-33O-ASV,38.7,42.8,34.3,0.0,候选 Rose Gold 全期月销 3.4；同型号最佳 Acrylic Silver 月销 38.7
41,LSMWP-01M-PC,LSMWP-01M-PC,Metal Wall Plate,LSMWP-01M,Polished Chrome,Active,1,3.0,4.0,3.2,3.4,30.0,36.0,16.0,24,5,11.0,Stainless Steel,LSMWP-01M-SS,25.1,29.4,21.0,24.4,候选 Polished Chrome 全期月销 3.4；同型号最佳 Stainless Steel 月销 25.1
42,LMWP-01M-HC,LMWP-01M-HC,Metal Wall Plate,LMWP-01M,Hammered Chrome,Active,1,5.4,2.2,1.6,3.4,59.0,22.0,8.0,26,3,13.0,Stainless Steel,LMWP-01M-SS-,269.8,162.5,220.4,646.0,候选 Hammered Chrome 全期月销 3.4；同型号最佳 Stainless Steel 月销 269.8
43,LMWP-14M-HB,LMWP-14M-HB,Metal Wall Plate,LMWP-14M,Hammered Brass,Active,1,3.5,4.0,1.5,3.4,42.0,48.0,6.0,28,1,13.0,Brushed Brass,LMWP-14M-BB,39.4,24.6,48.1,54.2,候选 Hammered Brass 全期月销 3.4；同型号最佳 Brushed Brass 月销 39.4
44,LCS3-1P-SVSWP,LCS3-1P-SVSWP,Combination Switch,LCS3-1P,Silver,Active,1,3.5,3.8,2.6,3.4,35.0,45.0,13.0,27,2,10.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Silver 全期月销 3.4；同型号最佳 Black 月销 63.1
45,LWP-12O-ABL,LWP-12O-ABL,Wall Plate,LWP-12O,Acrylic Blue,Active,1,4.2,3.7,1.8,3.6,51.0,44.0,9.0,29,0,10.0,Acrylic Silver,LWP-12O-ASV,35.6,57.3,23.4,12.4,候选 Acrylic Blue 全期月销 3.6；同型号最佳 Acrylic Silver 月销 35.6
46,LMWP-22M-PC,LMWP-22M-PC,Metal Wall Plate,LMWP-22M,Polished Chrome,Active,1,3.5,3.0,5.0,3.6,39.0,33.0,25.0,27,2,10.0,Stainless Steel,LMWP-22M-SS,39.4,41.3,42.1,25.8,候选 Polished Chrome 全期月销 3.6；同型号最佳 Stainless Steel 月销 39.4
47,LCS3-1P-NK,LCS3-1P-NK,Combination Switch,LCS3-1P,Nickel,Active,1,2.4,3.5,7.0,3.7,17.0,39.0,21.0,21,8,11.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Nickel 全期月销 3.7；同型号最佳 Black 月销 63.1
48,LWP-12O-ABK,"LWP-12O-ABK, LWP-12O-ABK5P",Wall Plate,LWP-12O,Acrylic Black,"Active, Inactive","1, 5",4.6,3.0,3.0,3.7,46.0,30.0,12.0,24,5,8.0,Acrylic Silver,LWP-12O-ASV,35.6,57.3,23.4,12.4,候选 Acrylic Black 全期月销 3.7；同型号最佳 Acrylic Silver 月销 35.6
49,LR15-4TR-BKWP,LR15-4TR-BKWP2P,Receptacle,LR15-4TR,Black,Active,2,4.2,3.8,2.7,3.8,34.0,30.0,8.0,19,10,10.0,White,LR15-4TR-WWP,19.1,26.0,15.0,12.2,候选 Black 全期月销 3.8；同型号最佳 White 月销 19.1
50,LMWP-01M-HB,LMWP-01M-HB,Metal Wall Plate,LMWP-01M,Hammered Brass,Active,1,4.6,3.0,3.2,3.8,51.0,24.0,16.0,24,5,11.0,Stainless Steel,LMWP-01M-SS-,269.8,162.5,220.4,646.0,候选 Hammered Brass 全期月销 3.8；同型号最佳 Stainless Steel 月销 269.8
51,LCS1-1PTR-SGSWP,LCS1-1PTR-SGSWP,Combination Switch,LCS1-1PTR,Space Gray,Active,1,4.6,3.7,2.6,3.9,51.0,44.0,13.0,28,1,12.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Space Gray 全期月销 3.9；同型号最佳 White 月销 105.3
52,LMWP-22M-HAC,LMWP-22M-HAC,Metal Wall Plate,LMWP-22M,Hammered Antique Copper,Inactive,1,2.5,4.0,4.6,3.9,10.0,48.0,23.0,21,8,8.0,Stainless Steel,LMWP-22M-SS,39.4,41.3,42.1,25.8,候选 Hammered Antique Copper 全期月销 3.9；同型号最佳 Stainless Steel 月销 39.4
53,LMWP-22M-AC,LMWP-22M-AC,Metal Wall Plate,LMWP-22M,Antique Copper,Inactive,1,3.0,5.0,3.5,3.9,30.0,45.0,14.0,23,6,11.0,Stainless Steel,LMWP-22M-SS,39.4,41.3,42.1,25.8,候选 Antique Copper 全期月销 3.9；同型号最佳 Stainless Steel 月销 39.4
54,LCS3-1P-SGSWP,LCS3-1P-SGSWP,Combination Switch,LCS3-1P,Space Gray,Active,1,2.6,5.4,4.0,4.0,31.0,65.0,20.0,29,0,10.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Space Gray 全期月销 4.0；同型号最佳 Black 月销 63.1
55,LWP-11O-AGR,"LWP-11O-AGR, LWP-11O-AGR5P",Wall Plate,LWP-11O,Acrylic Green,Inactive,"1, 5",4.0,4.5,3.0,4.0,48.0,54.0,15.0,29,0,11.0,Acrylic Silver,LWP-11O-ASV,70.6,98.0,56.5,38.8,候选 Acrylic Green 全期月销 4.0；同型号最佳 Acrylic Silver 月销 70.6
56,LMWP-14M-AC,LMWP-14M-AC,Metal Wall Plate,LMWP-14M,Antique Copper,Active,1,3.0,4.2,5.8,4.0,30.0,46.0,29.0,26,3,13.0,Brushed Brass,LMWP-14M-BB,39.4,24.6,48.1,54.2,候选 Antique Copper 全期月销 4.0；同型号最佳 Brushed Brass 月销 39.4
57,LSMWP-32M-PRG,LSMWP-32M-PRG,Metal Wall Plate,LSMWP-32M,Polished Rose Gold,Active,1,4.6,4.1,3.0,4.1,51.0,49.0,15.0,28,1,13.0,Brushed Brass,LSMWP-32M-BB,61.8,40.9,79.0,66.4,候选 Polished Rose Gold 全期月销 4.1；同型号最佳 Brushed Brass 月销 61.8
58,LMWP-34M-HAB,LMWP-34M-HAB,Metal Wall Plate,LMWP-34M,Hammered Antique Brass,Active,1,3.3,4.4,5.0,4.1,33.0,53.0,25.0,27,2,10.0,Brushed Brass,LMWP-34M-BB,38.3,38.0,34.5,48.4,候选 Hammered Antique Brass 全期月销 4.1；同型号最佳 Brushed Brass 月销 38.3
59,LCS3-1P-GYSWP,LCS3-1P-GYSWP,Combination Switch,LCS3-1P,Gray,Active,1,3.5,4.5,4.8,4.1,38.0,45.0,24.0,26,3,10.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Gray 全期月销 4.1；同型号最佳 Black 月销 63.1
60,LCS2-1P-SV,LCS2-1P-SV,Combination Switch,LCS2-1P,Silver,Active,1,3.7,4.2,5.4,4.2,44.0,46.0,27.0,28,1,8.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Silver 全期月销 4.2；同型号最佳 Black 月销 235.8
61,LMWP-02M-PB,LMWP-02M-PB,Metal Wall Plate,LMWP-02M,Polished Brass,Active,1,3.0,4.1,5.4,4.2,12.0,41.0,27.0,19,10,10.0,Antique Brass,LMWP-02M-AB,11.0,7.2,10.1,16.0,候选 Polished Brass 全期月销 4.2；同型号最佳 Antique Brass 月销 11.0
62,LCS3-1P-SG,LCS3-1P-SG,Combination Switch,LCS3-1P,Space Gray,Active,1,2.0,6.2,3.4,4.3,16.0,75.0,17.0,25,4,19.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Space Gray 全期月销 4.3；同型号最佳 Black 月销 63.1
63,LMWP-1121M-HB,LMWP-1121M-HB,Metal Wall Plate,LMWP-1121M,Hammered Brass,Active,1,3.6,4.3,6.0,4.3,36.0,47.0,30.0,26,3,10.0,Brushed Brass,LMWP-1121M-BB,50.1,36.7,51.8,78.0,候选 Hammered Brass 全期月销 4.3；同型号最佳 Brushed Brass 月销 50.1
64,LWP-32O-ABL,"LWP-32O-ABL, LWP-32O-ABL5P",Wall Plate,LWP-32O,Acrylic Blue,"Active, Inactive","1, 5",3.6,6.1,2.0,4.5,43.0,67.0,6.0,26,3,10.0,Acrylic Silver,LWP-32O-ASV,75.8,92.9,73.2,40.8,候选 Acrylic Blue 全期月销 4.5；同型号最佳 Acrylic Silver 月销 75.8
65,LMWP-1121M-AC,LMWP-1121M-AC,Metal Wall Plate,LMWP-1121M,Antique Chrome,Inactive,1,4.1,4.9,4.2,4.5,33.0,54.0,21.0,24,5,12.0,Brushed Brass,LMWP-1121M-BB,50.1,36.7,51.8,78.0,候选 Antique Chrome 全期月销 4.5；同型号最佳 Brushed Brass 月销 50.1
66,LMWP-1131M-HB,LMWP-1131M-HB,Metal Wall Plate,LMWP-1131M,Hammered Brass,Active,1,3.9,5.4,3.8,4.5,43.0,65.0,19.0,28,1,12.0,Brushed Brass,LMWP-1131M-BB,44.2,37.8,46.1,55.6,候选 Hammered Brass 全期月销 4.5；同型号最佳 Brushed Brass 月销 44.2
67,LMWP-22M-HAB,LMWP-22M-HAB,Metal Wall Plate,LMWP-22M,Hammered Antique Brass,Active,1,5.1,4.0,4.6,4.5,56.0,48.0,23.0,28,1,13.0,Stainless Steel,LMWP-22M-SS,39.4,41.3,42.1,25.8,候选 Hammered Antique Brass 全期月销 4.5；同型号最佳 Stainless Steel 月销 39.4
68,LWP-33O-ABK,"LWP-33O-ABK, LWP-33O-ABK5P",Wall Plate,LWP-33O,Acrylic Black,"Active, Inactive","1, 5",4.5,4.2,5.8,4.6,54.0,46.0,23.0,27,2,10.0,Acrylic Silver,LWP-33O-ASV,38.7,42.8,34.3,0.0,候选 Acrylic Black 全期月销 4.6；同型号最佳 Acrylic Silver 月销 38.7
69,LMWP-1121M-HC,LMWP-1121M-HC,Metal Wall Plate,LMWP-1121M,Hammered Chrome,Active,1,4.6,6.0,1.4,4.6,51.0,72.0,7.0,28,1,11.0,Brushed Brass,LMWP-1121M-BB,50.1,36.7,51.8,78.0,候选 Hammered Chrome 全期月销 4.6；同型号最佳 Brushed Brass 月销 50.1
70,LS15-4W-SV,LS15-4W-SV,Light Switch,LS15-4W,Silver,Active,1,3.4,5.8,5.2,4.7,34.0,52.0,21.0,23,6,9.0,Black,LS15-4W-BK,200.6,246.8,175.7,149.2,候选 Silver 全期月销 4.7；同型号最佳 Black 月销 200.6
