排名,SKU组,包含SKU,类别,型号,颜色,状态,PackSize,2024月销_单只,2025月销_单只,2026_1-5月销_单只,全期月销_单只,2024合计_单只,2025合计_单只,2026_1-5合计_单只,有销售月份_29,排除0销量月份,最高单月销量_单只,同型号最佳颜色,同型号最佳SKU组,同型号最佳全期月销_单只,同型号最佳2024月销_单只,同型号最佳2025月销_单只,同型号最佳2026_1-5月销_单只,对比说明
356,LSWP-33M-BNK,LSWP-33M-BNK,Screwless Wall Plate,LSWP-33M,Brushed Nickel,Active,1,36.2,39.7,54.0,40.8,434.0,397.0,270.0,27,2,86.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Brushed Nickel 全期月销 40.8；同型号最佳 White 月销 1279.6
357,LTS-30M-WWP,"LTS-30M-WWP, LTS-30M-WWP2P",Timer,LTS-30M,White,Active,"1, 2",55.4,37.2,14.8,40.9,665.0,446.0,74.0,29,0,206.0,Light Almond,LTS-30M-LAWP,8.7,9.5,7.5,9.6,候选 White 全期月销 40.9；同型号最佳 Light Almond 月销 8.7
358,LMWP-01M-AB,LMWP-01M-AB,Metal Wall Plate,LMWP-01M,Antique Brass,Active,1,46.3,37.8,13.0,40.9,556.0,454.0,13.0,25,4,67.0,Stainless Steel,LMWP-01M-SS-,269.8,162.5,220.4,646.0,候选 Antique Brass 全期月销 40.9；同型号最佳 Stainless Steel 月销 269.8
359,LWP-31M-LA,LWP-31M-LA,Wall Plate,LWP-31M,Light Almond,Active,1,18.1,59.6,51.4,41.0,217.0,715.0,257.0,29,0,106.0,White,LWP-31M-W,720.2,577.8,829.7,799.0,候选 Light Almond 全期月销 41.0；同型号最佳 White 月销 720.2
360,LS15E-1P-BW,LS15E-1P-BW5P,Light Switch,LS15E-1P,Brushed White,Active,5,53.3,44.6,18.0,41.1,320.0,535.0,90.0,23,6,135.0,Brushed Gold,LS15E-1P-BGD,577.2,0.0,390.5,726.6,候选 Brushed White 全期月销 41.1；同型号最佳 Brushed Gold 月销 577.2
361,LE5-3RAC2-BK,LE5-3RAC2-BK,Outlet Extender,LE5,Black,Active,1,42.0,47.8,25.0,41.4,420.0,574.0,125.0,27,2,109.0,White,LE5-3RAC2-W,216.3,188.9,273.2,134.4,候选 Black 全期月销 41.4；同型号最佳 White 月销 216.3
362,LMWP-41M-BB,LMWP-41M-BB,Metal Wall Plate,LMWP-41M,Brushed Brass,Inactive,1,23.6,42.0,61.8,42.3,118.0,504.0,309.0,22,7,87.0,Antique Brass,LMWP-41M-AB,37.2,33.8,43.0,36.0,候选 Brushed Brass 全期月销 42.3；同型号最佳 Antique Brass 月销 37.2
363,LSWP-33M-GY,LSWP-33M-GY,Screwless Wall Plate,LSWP-33M,Gray,Active,1,40.6,34.8,65.4,42.5,487.0,418.0,327.0,29,0,79.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Gray 全期月销 42.5；同型号最佳 White 月销 1279.6
364,LSWP-32M-ASV,LSWP-32M-ASV,Screwless Wall Plate,LSWP-32M,Silver,Active,1,46.7,40.1,42.0,43.1,560.0,481.0,210.0,29,0,55.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Silver 全期月销 43.1；同型号最佳 White 月销 3751.2
365,LMWP-1131M-BB,LMWP-1131M-BB,Metal Wall Plate,LMWP-1131M,Brushed Brass,Active,1,37.8,46.1,55.6,44.2,454.0,461.0,278.0,27,2,91.0,Polished Brass,LMWP-1131M-PB,25.2,24.1,31.6,12.6,候选 Brushed Brass 全期月销 44.2；同型号最佳 Polished Brass 月销 25.2
366,LS15-1P-SG,"LS15-1P-SG, LS15-1P-SG5P",Light Switch,LS15-1P,Space Gray,Active,"1, 5",39.5,39.4,67.6,44.3,474.0,473.0,338.0,29,0,95.0,Black,LS15-1P-BK,912.6,1000.3,802.1,967.4,候选 Space Gray 全期月销 44.3；同型号最佳 Black 月销 912.6
367,LS15-1P-SV,"LS15-1P-SV, LS15-1P-SV5P",Light Switch,LS15-1P,Silver,Active,"1, 5",44.8,39.3,62.4,45.6,537.0,472.0,312.0,29,0,93.0,Black,LS15-1P-BK,912.6,1000.3,802.1,967.4,候选 Silver 全期月销 45.6；同型号最佳 Black 月销 912.6
368,LFS-3S-WWP,LFS-3S-WWP,Fan,LFS-3S,White,Active,1,79.2,26.0,12.4,45.7,951.0,312.0,62.0,29,0,117.0,Black,LFS-3S-BKWP,48.5,41.0,43.2,79.2,候选 White 全期月销 45.7；同型号最佳 Black 月销 48.5
369,LDS-1P-WWP,LDS-1P-WWP,Dimmer,LDS-1P,White,Active,1,62.7,39.0,22.0,45.9,752.0,468.0,110.0,29,0,118.0,Black,LDS-1P-BKWP,16.7,27.2,10.7,4.8,候选 White 全期月销 45.9；同型号最佳 Black 月销 16.7
370,LWP-31M-BR,LWP-31M-BR,Wall Plate,LWP-31M,Brown,Active,1,39.4,53.4,52.4,46.8,473.0,481.0,262.0,26,3,122.0,White,LWP-31M-W,720.2,577.8,829.7,799.0,候选 Brown 全期月销 46.8；同型号最佳 White 月销 720.2
371,LDS-PL-BK,LDS-PL-BK,Dimmer,LDS-PL,Black,Active,1,62.8,36.2,36.2,47.2,754.0,435.0,181.0,29,0,125.0,White,LDS-PL-W,73.0,91.8,45.8,93.0,候选 Black 全期月销 47.2；同型号最佳 White 月销 73.0
372,LMWP-32M-PC,LMWP-32M-PC,Metal Wall Plate,LMWP-32M,Polished Chrome,Active,1,52.8,51.1,27.4,47.7,634.0,613.0,137.0,29,0,86.0,Brushed Brass,LMWP-32M-BB,374.5,343.8,358.3,487.2,候选 Polished Chrome 全期月销 47.7；同型号最佳 Brushed Brass 月销 374.5
373,LDFS-1P3S-BKWP,LDFS-1P3S-BKWP2P,Dimmer,LDFS-1P3S,Black,Active,2,38.3,52.5,60.8,47.9,460.0,578.0,304.0,28,1,92.0,White,LDFS-1P3S-WWP,34.2,42.9,34.0,14.0,候选 Black 全期月销 47.9；同型号最佳 White 月销 34.2
374,LSMWP-31M-PB,LSMWP-31M-PB,Metal Wall Plate,LSMWP-31M,Polished Brass,Active,1,70.3,31.4,35.4,48.2,844.0,377.0,177.0,29,0,118.0,Brushed Brass,LSMWP-31M-BB,171.2,116.7,234.3,118.0,候选 Polished Brass 全期月销 48.2；同型号最佳 Brushed Brass 月销 171.2
375,LTU-RPD36AC2-W,LTU-RPD36AC2-W,Desk Grommet,LTU-RPD36AC2,White,Active,1,26.5,68.2,10.0,48.5,53.0,818.0,50.0,19,10,110.0,Black,LTU-RPD36AC2-BK,26.2,25.0,29.2,19.4,候选 White 全期月销 48.5；同型号最佳 Black 月销 26.2
376,LFS-3S-BKWP,LFS-3S-BKWP2P,Fan,LFS-3S,Black,Active,2,41.0,43.2,79.2,48.5,492.0,518.0,396.0,29,0,192.0,White,LFS-3S-WWP,45.7,79.2,26.0,12.4,候选 Black 全期月销 48.5；同型号最佳 White 月销 45.7
377,LSWP-01M-GD,LSWP-01M-GD10P,Screwless Wall Plate,LSWP-01M,Gold,Active,10,40.8,48.2,70.0,48.9,490.0,530.0,350.0,28,1,140.0,White,LSWP-01M-W,736.7,1066.2,547.2,400.6,候选 Gold 全期月销 48.9；同型号最佳 White 月销 736.7
378,LMWP-33M-AB,LMWP-33M-AB,Metal Wall Plate,LMWP-33M,Antique Brass,Active,1,48.2,50.5,0.0,49.3,578.0,555.0,0.0,23,6,104.0,Brushed Brass,LMWP-33M-BB,105.1,99.9,106.2,115.2,候选 Antique Brass 全期月销 49.3；同型号最佳 Brushed Brass 月销 105.1
379,LSWP-31M-BSG,LSWP-31M-BSG,Screwless Wall Plate,LSWP-31M,Space Gray,Active,1,52.6,51.2,37.0,49.3,631.0,615.0,185.0,29,0,104.0,White,LSWP-31M-W,10342.4,8557.3,10432.1,14411.6,候选 Space Gray 全期月销 49.3；同型号最佳 White 月销 10342.4
380,LMWP-21M-HB,LMWP-21M-HB,Metal Wall Plate,LMWP-21M,Hammered Brass,Active,1,59.8,43.5,39.8,49.6,718.0,522.0,199.0,29,0,104.0,Stainless Steel,LMWP-21M-SS-,1545.9,939.6,1939.2,2057.0,候选 Hammered Brass 全期月销 49.6；同型号最佳 Stainless Steel 月销 1545.9
381,LMWP-01M-PB,LMWP-01M-PB,Metal Wall Plate,LMWP-01M,Polished Brass,Active,1,50.5,50.1,46.6,49.7,606.0,601.0,233.0,29,0,120.0,Stainless Steel,LMWP-01M-SS-,269.8,162.5,220.4,646.0,候选 Polished Brass 全期月销 49.7；同型号最佳 Stainless Steel 月销 269.8
382,LWP-34M-W,LWP-34M-W,Wall Plate,LWP-34M,White,Active,1,58.9,46.1,38.0,50.0,707.0,553.0,190.0,29,0,114.0,Black,LWP-34M-BK,75.3,85.8,85.4,29.8,候选 White 全期月销 50.0；同型号最佳 Black 月销 75.3
383,LR15-TR-I,"LR15-TR-I, LR15-TR-I10P, LR15-TR-I5P",Receptacle,LR15-TR,Ivory,Active,"1, 5, 10",31.4,60.5,74.5,50.0,377.0,726.0,298.0,28,1,197.0,Gold,LR15-TR-GDSWP,2135.5,1282.8,2432.6,3469.2,候选 Ivory 全期月销 50.0；同型号最佳 Gold 月销 2135.5
384,LMWP-1121M-BB,LMWP-1121M-BB,Metal Wall Plate,LMWP-1121M,Brushed Brass,Active,1,36.7,51.8,78.0,50.1,440.0,622.0,390.0,29,0,114.0,Polished Brass,LMWP-1121M-PB,37.0,37.1,42.0,25.0,候选 Brushed Brass 全期月销 50.1；同型号最佳 Polished Brass 月销 37.0
385,LMWP-12M-HAB,LMWP-12M-HAB,Metal Wall Plate,LMWP-12M,Hammered Antique Brass,Active,1,41.6,66.1,33.8,50.4,499.0,793.0,169.0,29,0,132.0,Brushed Brass,LMWP-12M-BB,535.6,416.8,609.2,644.2,候选 Hammered Antique Brass 全期月销 50.4；同型号最佳 Brushed Brass 月销 535.6
386,LMWP-33M-SS,LMWP-33M-SS,Metal Wall Plate,LMWP-33M,Stainless Steel,Active,1,56.9,49.2,38.8,50.6,683.0,591.0,194.0,29,0,104.0,Brushed Brass,LMWP-33M-BB,105.1,99.9,106.2,115.2,候选 Stainless Steel 全期月销 50.6；同型号最佳 Brushed Brass 月销 105.1
387,LS15-4W-GD,LS15-4W-GD,Light Switch,LS15-4W,Gold,Active,1,37.9,56.5,71.6,51.0,455.0,565.0,358.0,27,2,125.0,Black,LS15-4W-BK,200.6,246.8,175.7,149.2,候选 Gold 全期月销 51.0；同型号最佳 Black 月销 200.6
388,LS15-1P-BR,LS15-1P-BR,Light Switch,LS15-1P,Brown,Active,1,36.5,53.4,81.4,51.1,438.0,534.0,407.0,27,2,138.0,Black,LS15-1P-BK,912.6,1000.3,802.1,967.4,候选 Brown 全期月销 51.1；同型号最佳 Black 月销 912.6
389,LSWP-33M-LA,LSWP-33M-LA,Screwless Wall Plate,LSWP-33M,Light Almond,Active,1,43.9,51.2,80.8,53.3,527.0,615.0,404.0,29,0,116.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Light Almond 全期月销 53.3；同型号最佳 White 月销 1279.6
390,LMWP-21M-PC,LMWP-21M-PC,Metal Wall Plate,LMWP-21M,Polished Chrome,Active,1,65.6,49.7,41.0,54.8,787.0,596.0,205.0,29,0,116.0,Stainless Steel,LMWP-21M-SS-,1545.9,939.6,1939.2,2057.0,候选 Polished Chrome 全期月销 54.8；同型号最佳 Stainless Steel 月销 1545.9
391,LSWP-31M-AGD,LSWP-31M-AGD,Screwless Wall Plate,LSWP-31M,Gold,Active,1,80.1,45.1,21.2,55.4,961.0,541.0,106.0,29,0,119.0,White,LSWP-31M-W,10342.4,8557.3,10432.1,14411.6,候选 Gold 全期月销 55.4；同型号最佳 White 月销 10342.4
392,LSWP-31M-SV,LSWP-31M-SV,Screwless Wall Plate,LSWP-31M,Silver,Active,1,76.5,39.6,48.2,56.3,918.0,475.0,241.0,29,0,141.0,White,LSWP-31M-W,10342.4,8557.3,10432.1,14411.6,候选 Silver 全期月销 56.3；同型号最佳 White 月销 10342.4
393,LCS3-1P-WSWP,"LCS3-1P-WSWP, LCS3-1P-WSWP2P",Combination Switch,LCS3-1P,White,Active,"1, 2",66.0,41.6,70.6,56.7,792.0,499.0,353.0,29,0,104.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 White 全期月销 56.7；同型号最佳 Black 月销 63.1
394,LMWP-31M-AC,LMWP-31M-AC,Metal Wall Plate,LMWP-31M,Antique Copper,Active,1,49.2,60.5,73.8,58.1,590.0,726.0,369.0,29,0,162.0,Brushed Brass,LMWP-31M-BB,1417.5,1299.3,1391.8,1762.6,候选 Antique Copper 全期月销 58.1；同型号最佳 Brushed Brass 月销 1417.5
395,LMWP-21M-HAC,LMWP-21M-HAC,Metal Wall Plate,LMWP-21M,Hammered Antique Copper,Active,1,38.8,73.2,76.0,59.4,465.0,878.0,380.0,29,0,191.0,Stainless Steel,LMWP-21M-SS-,1545.9,939.6,1939.2,2057.0,候选 Hammered Antique Copper 全期月销 59.4；同型号最佳 Stainless Steel 月销 1545.9
396,LS15E-3W-BK,LS15E-3W-BK10P,Light Switch,LS15E-3W,Black,Active,10,98.0,28.0,52.0,60.8,980.0,280.0,260.0,25,4,230.0,White,LS15E-3W-W,497.0,722.0,370.3,351.2,候选 Black 全期月销 60.8；同型号最佳 White 月销 497.0
397,LMWP-13M-PB,LMWP-13M-PB,Metal Wall Plate,LMWP-13M,Polished Brass,Active,1,84.2,51.8,31.0,61.6,1010.0,622.0,155.0,29,0,126.0,Brushed Brass,LMWP-13M-BB,173.2,53.5,178.2,304.6,候选 Polished Brass 全期月销 61.6；同型号最佳 Brushed Brass 月销 173.2
398,LSMWP-32M-BB,LSMWP-32M-BB,Metal Wall Plate,LSMWP-32M,Brushed Brass,Active,1,40.9,79.0,66.4,61.8,450.0,948.0,332.0,28,1,157.0,Stainless Steel,LSMWP-32M-SS,31.3,39.1,24.2,29.6,候选 Brushed Brass 全期月销 61.8；同型号最佳 Stainless Steel 月销 31.3
399,LMWP-12M-AB,LMWP-12M-AB,Metal Wall Plate,LMWP-12M,Antique Brass,Active,1,61.4,72.0,4.5,61.9,737.0,864.0,9.0,26,3,130.0,Brushed Brass,LMWP-12M-BB,535.6,416.8,609.2,644.2,候选 Antique Brass 全期月销 61.9；同型号最佳 Brushed Brass 月销 535.6
400,LMWP-32M-SS,LMWP-32M-SS,Metal Wall Plate,LMWP-32M,Stainless Steel,Active,1,70.2,56.2,59.2,62.5,843.0,674.0,296.0,29,0,92.0,Brushed Brass,LMWP-32M-BB,374.5,343.8,358.3,487.2,候选 Stainless Steel 全期月销 62.5；同型号最佳 Brushed Brass 月销 374.5
401,LSWP-32M-BBK,"LSWP-32M-BBK, LSWP-32M-BBK10P",Screwless Wall Plate,LSWP-32M,Brushed Black,"Active, Inactive","1, 10",65.0,64.6,52.2,62.6,780.0,775.0,261.0,29,0,100.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Brushed Black 全期月销 62.6；同型号最佳 White 月销 3751.2
402,LCS3-1P-BKSWP,"LCS3-1P-BKSWP, LCS3-1P-BKSWP2P",Combination Switch,LCS3-1P,Black,Active,"1, 2",52.7,75.8,57.6,63.1,632.0,909.0,288.0,29,0,144.0,White,LCS3-1P-WSWP,56.7,66.0,41.6,70.6,候选 Black 全期月销 63.1；同型号最佳 White 月销 56.7
403,LSWP-02M-W,LSWP-02M-W10P,Screwless Wall Plate,LSWP-02M,White,Active,10,85.8,51.8,34.0,63.2,1030.0,570.0,170.0,28,1,160.0,Black,LSWP-02M-BK,36.7,50.0,28.9,17.5,候选 White 全期月销 63.2；同型号最佳 Black 月销 36.7
404,LCS2-1P-GDSWP,"LCS2-1P-GDSWP, LCS2-1P-GDSWP2P",Combination Switch,LCS2-1P,Gold,Active,"1, 2",64.8,66.3,62.2,65.0,778.0,796.0,311.0,29,0,102.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Gold 全期月销 65.0；同型号最佳 Black 月销 235.8
405,LSWP-32M-BR,"LSWP-32M-BR, LSWP-32M-BR10P",Screwless Wall Plate,LSWP-32M,Brown,Active,"1, 10",51.2,83.2,58.8,65.8,614.0,999.0,294.0,29,0,214.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Brown 全期月销 65.8；同型号最佳 White 月销 3751.2
406,LHS-F-G-WWP,LHS-F-G-WWP,Humidity Sensor,LHS-F,White,Active,1,84.9,61.8,40.0,66.3,849.0,742.0,200.0,27,2,242.0,Black,LHS-F-G-BKWP,29.8,17.0,34.0,50.5,候选 White 全期月销 66.3；同型号最佳 Black 月销 29.8
407,LR20-TR-W,"LR20-TR-W, LR20-TR-W5P",Receptacle,LR20-TR,White,Active,"1, 5",73.7,49.7,97.8,67.9,884.0,596.0,489.0,29,0,178.0,Gold,LR20-TR-GD,383.9,277.6,448.1,485.2,候选 White 全期月销 67.9；同型号最佳 Gold 月销 383.9
408,LTU-PD65AC2-BK,LTU-PD65AC2-BK,Desk Grommet,LTU-PD65AC2,Black,Active,1,21.0,94.5,23.0,67.9,42.0,1134.0,115.0,19,10,311.0,Gold,LTU-PD65AC2-GD,24.0,0.0,0.0,24.0,候选 Black 全期月销 67.9；同型号最佳 Gold 月销 24.0
409,LWP-01O-ASV,"LWP-01O-ASV, LWP-01O-ASV5P",Wall Plate,LWP-01O,Acrylic Silver,Active,"1, 5",84.1,52.5,0.0,69.0,1009.0,577.0,0.0,23,6,123.0,Acrylic Gold,LWP-01O-AGD,7.2,8.7,7.3,3.2,候选 Acrylic Silver 全期月销 69.0；同型号最佳 Acrylic Gold 月销 7.2
410,LWP-11O-ASV,"LWP-11O-ASV, LWP-11O-ASV5P",Wall Plate,LWP-11O,Acrylic Silver,Active,"1, 5",98.0,56.5,38.8,70.6,1176.0,678.0,194.0,29,0,133.0,Acrylic Gold,LWP-11O-AGD,32.2,44.7,24.7,20.4,候选 Acrylic Silver 全期月销 70.6；同型号最佳 Acrylic Gold 月销 32.2
411,LU-6A3C2-WWP,LU-6A3C2-WWP,USB OUTLET,LU-6A3C2,White,Active,1,55.6,81.2,79.6,71.4,556.0,974.0,398.0,27,2,137.0,Black,LU-6A3C2-BKWP,16.3,17.5,14.4,18.0,候选 White 全期月销 71.4；同型号最佳 Black 月销 16.3
412,LDS-PL-W,LDS-PL-W,Dimmer,LDS-PL,White,Active,1,91.8,45.8,93.0,73.0,1102.0,550.0,465.0,29,0,267.0,Black,LDS-PL-BK,47.2,62.8,36.2,36.2,候选 White 全期月销 73.0；同型号最佳 Black 月销 47.2
413,LCS1-1PTR-W,LCS1-1PTR-W,Combination Switch,LCS1-1PTR,White,Active,1,79.8,84.2,30.4,73.1,958.0,1010.0,152.0,29,0,163.0,Black,LCS1-1PTR-BKSWP,80.0,106.3,67.9,45.8,候选 White 全期月销 73.1；同型号最佳 Black 月销 80.0
414,LSWP-01M-LA,LSWP-01M-LA10P,Screwless Wall Plate,LSWP-01M,Light Almond,Active,10,82.5,72.5,52.0,73.1,990.0,870.0,260.0,29,0,190.0,White,LSWP-01M-W,736.7,1066.2,547.2,400.6,候选 Light Almond 全期月销 73.1；同型号最佳 White 月销 736.7
415,LMWP-11M-HAB,LMWP-11M-HAB,Metal Wall Plate,LMWP-11M,Hammered Antique Brass,Active,1,71.2,96.2,33.0,74.2,854.0,1058.0,165.0,28,1,215.0,Brushed Brass,LMWP-11M-BB,497.6,406.4,496.4,719.0,候选 Hammered Antique Brass 全期月销 74.2；同型号最佳 Brushed Brass 月销 497.6
416,LWP-34M-BK,LWP-34M-BK,Wall Plate,LWP-34M,Black,Active,1,85.8,85.4,29.8,75.3,1030.0,854.0,149.0,27,2,179.0,White,LWP-34M-W,50.0,58.9,46.1,38.0,候选 Black 全期月销 75.3；同型号最佳 White 月销 50.0
417,LWP-31O-AGD,"LWP-31O-AGD, LWP-31O-AGD5P",Wall Plate,LWP-31O,Acrylic Gold,Active,"1, 5",78.1,76.4,68.0,75.7,937.0,917.0,340.0,29,0,154.0,Acrylic Silver,LWP-31O-ASV,411.9,532.8,333.9,309.2,候选 Acrylic Gold 全期月销 75.7；同型号最佳 Acrylic Silver 月销 411.9
418,LWP-32O-ASV,"LWP-32O-ASV, LWP-32O-ASV5P",Wall Plate,LWP-32O,Acrylic Silver,Active,"1, 5",92.9,73.2,40.8,75.8,1115.0,879.0,204.0,29,0,125.0,Acrylic Gold,LWP-32O-AGD,25.7,22.2,30.5,22.8,候选 Acrylic Silver 全期月销 75.8；同型号最佳 Acrylic Gold 月销 25.7
419,LMWP-11M-SS,LMWP-11M-SS,Metal Wall Plate,LMWP-11M,Stainless Steel,Active,1,75.8,75.8,88.4,77.9,909.0,909.0,442.0,29,0,195.0,Brushed Brass,LMWP-11M-BB,497.6,406.4,496.4,719.0,候选 Stainless Steel 全期月销 77.9；同型号最佳 Brushed Brass 月销 497.6
420,LSWP-32M-BNK,LSWP-32M-BNK,Screwless Wall Plate,LSWP-32M,Brushed Nickel,Active,1,71.7,79.3,92.0,78.3,860.0,952.0,460.0,29,0,141.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Brushed Nickel 全期月销 78.3；同型号最佳 White 月销 3751.2
421,LSWP-32M-BW,"LSWP-32M-BW, LSWP-32M-BW10P",Screwless Wall Plate,LSWP-32M,Brushed White,"Active, Inactive","1, 10",91.7,67.9,76.8,79.3,1100.0,815.0,384.0,29,0,130.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Brushed White 全期月销 79.3；同型号最佳 White 月销 3751.2
422,LCS2-1P-W,LCS2-1P-W,Combination Switch,LCS2-1P,White,Active,1,94.0,77.0,57.8,80.7,1128.0,924.0,289.0,29,0,140.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 White 全期月销 80.7；同型号最佳 Black 月销 235.8
423,LSWP-31M-BGY,"LSWP-31M-BGY, LSWP-31M-BGY10P",Screwless Wall Plate,LSWP-31M,Brushed Gray,"Active, Inactive","1, 10",71.8,89.2,80.2,80.8,790.0,1070.0,401.0,28,1,240.0,White,LSWP-31M-W,10342.4,8557.3,10432.1,14411.6,候选 Brushed Gray 全期月销 80.8；同型号最佳 White 月销 10342.4
424,LMWP-31M-HAB,LMWP-31M-HAB,Metal Wall Plate,LMWP-31M,Hammered Antique Brass,Active,1,79.4,85.0,74.8,80.9,953.0,1020.0,374.0,29,0,172.0,Brushed Brass,LMWP-31M-BB,1417.5,1299.3,1391.8,1762.6,候选 Hammered Antique Brass 全期月销 80.9；同型号最佳 Brushed Brass 月销 1417.5
425,LSWP-31M-BSV,LSWP-31M-BSV,Screwless Wall Plate,LSWP-31M,Brushed Silver,Active,1,90.9,85.1,71.2,85.1,1091.0,1021.0,356.0,29,0,160.0,White,LSWP-31M-W,10342.4,8557.3,10432.1,14411.6,候选 Brushed Silver 全期月销 85.1；同型号最佳 White 月销 10342.4
426,LS15-3W-GY,"LS15-3W-GY, LS15-3W-GY5P",Light Switch,LS15-3W,Gray,Active,"1, 5",97.0,88.8,63.8,87.9,1164.0,1066.0,319.0,29,0,157.0,Black,LS15-3W-BK,583.7,687.4,519.3,489.4,候选 Gray 全期月销 87.9；同型号最佳 Black 月销 583.7
